,name,in_degree,out_degree,total_degree
69,AVI-TECH ELECTRONICS LIMITED,0,0,0
70,AVIC INTERNATIONAL MARITIME HOLDINGS LIMITED,0,0,0
71,AVJENNINGS LIMITED,0,0,0
72,AXCELASIA INC,0,0,0
73,AYONDO LIMITED,1,0,1
74,AZEUS SYSTEMS HOLDINGS LIMITED,0,0,0
75,BAKER TECHNOLOGY LIMITED,0,1,1
76,BAN LEONG TECHNOLOGIES LIMITED,0,0,0
77,BANYAN TREE HOLDINGS LIMITED,0,0,0
78,BBR HOLDINGS SINGAPORE LIMITED,0,0,0
79,BENG KUANG MARINE LIMITED,0,0,0
80,BEST WORLD INTERNATIONAL LIMITED,0,0,0
81,BH GLOBAL CORPORATION LIMITED,0,0,0
82,BHG RETAIL TRUST MANAGEMENT PRIVATE LIMITED,1,1,2
83,BIOLIDICS LIMITED,1,0,1
84,BLACKGOLD NATURAL RESOURCES LIMITED,0,0,0
85,BLUMONT GROUP LIMITED,0,1,1
86,BM MOBILITY LIMITED,0,0,0
87,BOLDTEK HOLDINGS LIMITED,0,0,0
88,BONVESTS HOLDINGS LIMITED,0,1,1
89,BOUSTEAD PROJECTS LIMITED,1,0,1
90,BOUSTEAD SINGAPORE LIMITED,0,1,1
91,BOWSPRIT CAPITAL CORPORATION LIMITED,2,1,3
92,BRC ASIA LIMITED,0,0,0
93,BREADTALK GROUP LIMITED,0,0,0
94,BRITISH AND MALAYAN HOLDINGS LIMITED,0,0,0
95,BROADWAY INDUSTRIAL GROUP LIMITED,0,0,0
96,BROOK CROMPTON HOLDINGS LIMITED,0,0,0
97,BUKIT SEMBAWANG ESTATES LIMITED,0,0,0
98,BUMITAMA AGRI LIMITED,0,0,0
99,BUND CENTER INVESTMENT LIMITED,0,0,0
100,C&G ENV PROTECT HOLDINGS LIMITED,0,0,0
101,CACOLA FURNITURE INTL LIMITED,0,0,0
102,CAMSING HEALTHCARE LIMITED,0,0,0
103,CAPITAL WORLD LIMITED,1,0,1
104,CAPITALAND COMMERCIAL TRUST MANAGEMENT LIMITED,3,1,4
105,CAPITALAND LIMITED,1,4,5
106,CAPITALAND MALL TRUST MANAGEMENT LIMITED,3,1,4
107,CAPITALAND RETAIL CHINA TRUST MANAGEMENT LIMITED,4,1,5
108,CAPTII LIMITED,0,0,0
109,CASA HOLDINGS LIMITED,0,0,0
110,CDW HOLDING LIMITED,0,0,0
111,CEI LIMITED,2,0,2
112,CENTURION CORPORATION LIMITED,0,0,0
113,CFM HOLDINGS LIMITED,0,0,0
114,CH OFFSHORE LIMITED,2,0,2
115,CHALLENGER TECHNOLOGIES LIMITED,0,0,0
116,CHARISMA ENERGY SERVICES LIMITED,1,0,1
117,CHASEN HOLDINGS LIMITED,0,0,0
118,CHASWOOD RESOURCES HOLDINGS LIMITED,1,0,1
119,CHEMICAL INDUSTRIES (FAR EAST) LIMITED,1,0,1
120,CHEUNG WOH TECHNOLOGIES LIMITED,0,0,0
121,CHINA AVIATION OIL SINGAPORE CORPORATION LIMITED,0,0,0
122,CHINA ENVIRONMENT LIMITED,0,0,0
123,CHINA ENVIRONMENTAL RESOURCES GROUP LIMITED,0,0,0
124,CHINA ESSENCE GROUP LIMITED,0,0,0
125,CHINA EVERBRIGHT WATER LIMITED,0,0,0
126,CHINA FISHERY GROUP LIMITED,0,0,0
127,CHINA GAOXIAN FIBRE FABRIC HOLDINGS LIMITED,0,0,0
128,CHINA GREAT LAND HOLDINGS LIMITED,0,0,0
129,CHINA HAIDA LIMITED,0,0,0
130,CHINA HONGXING SPORTS LIMITED,0,0,0
131,CHINA INTERNATIONAL HOLDINGS LIMITED,0,0,0
132,CHINA JISHAN HOLDINGS LIMITED,0,0,0
133,CHINA KANGDA FOOD COMPANY LIMITED,0,0,0
134,CHINA KUNDA TECHNOLOGY HOLDINGS LIMITED,0,0,0
135,CHINA MINING INTERNATIONAL LIMITED,0,0,0
136,CHINA PAPER HOLDINGS LIMITED,0,0,0
137,CHINA REAL ESTATE GRP LIMITED,0,0,0
138,CHINA SKY CHEMICAL FIBRE COMPANY LIMITED,0,0,0
139,CHINA SPORTS INTERNATIONAL LIMITED,0,0,0
140,CHINA STAR FOOD GROUP LIMITED,0,0,0
141,CHINA SUNSINE CHEMICAL HOLDINGS LIMITED,0,0,0
142,CHINA TAISAN TECHNOLOGY GROUP HOLDINGS LIMITED,0,0,0
143,CHINA YUANBANG PROP HOLDINGS LIMITED,0,0,0
144,CHINESE GLOBAL INVESTORS GROUP LIMITED,0,0,0
145,CHIP ENG SENG CORPORATION LIMITED,0,0,0
146,CHOO CHIANG HOLDINGS LIMITED,0,0,0
147,CHUAN HUP HOLDINGS LIMITED,0,1,1
148,CITIC ENVIROTECH LIMITED,0,0,0
149,CITICODE LIMITED,0,0,0
150,CITY DEVELOPMENTS LIMITED,0,4,4
151,CIVMEC LIMITED,0,0,0
152,CLEARBRIDGE HEALTH LIMITED,0,1,1
153,CNA GROUP LIMITED,0,0,0
154,CNMC GOLDMINE HOLDINGS LIMITED,0,0,0
155,COLEX HOLDINGS LIMITED,1,0,1
156,COMBINE WILL INTL HOLDINGS LIMITED,0,0,0
157,COMFORTDELGRO CORPORATION LIMITED,0,2,2
158,CORDLIFE GROUP LIMITED,0,0,0
159,CORTINA HOLDINGS LIMITED,0,0,0
