STOCK NAME,STANDARDISED STOCK NAME,CODE,ANNUAL_REPORT_2018,INVESTMENT_CHANNEL,DATA AVAILIABITY,SECTOR
AF GLOBAL LIMITED,AF GLOBAL LIMITED,L38,https://links.sgx.com/1.0.0/corporate-announcements/T7GP5OCVJUUY39PB/AFGL_Notice%20of%20AGM.pdf,STOCKS,Yes,Consumer Discretionary
AGV GROUP LIMITED,AGV GROUP LIMITED,1A4,https://links.sgx.com/1.0.0/corporate-announcements/7F85DW9ZMNLMLNBO/AGV%20Group%20Limited%20-%20AR%20FY2018.pdf,STOCKS,Yes,Materials
AIMS APAC REIT MANAGEMENT LIMITED,AIMS APAC REIT MANAGEMENT LIMITED,O5RU,https://investor.aimsapacreit.com/newsroom/20180621_082541_O5RU_OVFYHDBK8FN855BO.1.pdf,REIT,Yes,Real Estate
AIMS PROPERTY SECURITIES FUND,AIMS PROPERTY SECURITIES FUND,BVP,https://links.sgx.com/1.0.0/corporate-announcements/GCEOXF9NYK0CJJCQ/APW%20-%20Annual%20Report%20-%20FY%2018.pdf,REIT,Yes,Real Estate
ALIBABA PICTURES GROUP LIMITED,ALIBABA PICTURES GROUP LIMITED,S91,https://links.sgx.com/1.0.0/corporate-announcements/LB2OE1GVJE95CYI5/e1060_180507_ar.pdf,STOCKS,Yes,Communication Services
ALITA RESOURCES LIMITED,ALITA RESOURCES LIMITED,40F,https://links.sgx.com/FileOpen/AMAL_Annual%20Report_2018.ashx?App=Announcement&FileID=528836,STOCKS,Yes,Materials
ALLIANCE HEALTHCARE GROUP LIMITED,ALLIANCE HEALTHCARE GROUP LIMITED,MIJ,,STOCKS,No,Health Care
ALLIED TECHNOLOGIES LIMITED,ALLIED TECHNOLOGIES LIMITED,A13,https://links.sgx.com/1.0.0/corporate-announcements/U2VJFQO86MXO2JC9/Allied%20Technologies%20Limited%20Annual%20Report%202018_100719.pdf,STOCKS,Yes,Industrials
ALPHA ENERGY HOLDINGS LIMITED,ALPHA ENERGY HOLDINGS LIMITED,5TS,https://links.sgx.com/1.0.0/corporate-announcements/XTID7IYI88ZYYXMK/Alpha_Annual%20Report%202018.pdf,STOCKS,Yes,Energy
ALUMINUM CORP OF CHINA,ALUMINUM CORP OF CHINA,K3HD,,STOCKS,No,Materials
AMARA HOLDINGS LIMITED,AMARA HOLDINGS LIMITED,A34,https://links.sgx.com/1.0.0/corporate-announcements/REQSJXC8RR6MS2MB/Amara_AR2018.pdf,STOCKS,Yes,Consumer Discretionary
AMOS GROUP LIMITED,AMOS GROUP LIMITED,RF7,https://amosgroup.listedcompany.com/newsroom/20180705_173604_RF7_P1YEEN41XZAU5LV9.1.pdf,STOCKS,Yes,Energy
AMPLEFIELD LIMITED,AMPLEFIELD LIMITED,AOF,https://links.sgx.com/1.0.0/corporate-announcements/JUR5SMHT2US7DFJ2/Amplefield%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
ANAN INTERNATIONAL LIMITED,ANAN INTERNATIONAL LIMITED,Y35,,STOCKS,No,Energy
ANCHOR RESOURCES LIMITED,ANCHOR RESOURCES LIMITED,43E,https://links.sgx.com/1.0.0/corporate-announcements/M5K4WDHRELZK2OSG/Anchor%20AR.pdf,STOCKS,Yes,Materials
ANCHUN INTERNATIONAL HOLDINGS LTD.,ANCHUN INTERNATIONAL HOLDINGS LIMITED,BTX,https://links.sgx.com/1.0.0/corporate-announcements/0G4AML28DFUVDXFM/Anchun_AR2018.pdf,STOCKS,Yes,Industrials
ANNAIK LIMITED,ANNAIK LIMITED,A52,https://links.sgx.com/1.0.0/corporate-announcements/X0APQKDO2UW7N2RW/AnnAik%20AR2018.pdf,STOCKS,Yes,Materials
ANNICA HOLDINGS LIMITED,ANNICA HOLDINGS LIMITED,5AL,https://links.sgx.com/1.0.0/corporate-announcements/R7D7ABEY8M6TKFNJ/Annica%20Holdings%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Energy
AOXIN Q & M DENTAL GRP LIMITED,AOXIN Q & M DENTAL GRP LIMITED,1D4,https://links.sgx.com/1.0.0/corporate-announcements/ZMIITO703UDR1WF2/AOXIN%20Annual%20Report%202018.pdf,STOCKS,Yes,Health Care
AP OIL INTERNATIONAL LIMITED,AP OIL INTERNATIONAL LIMITED,5AU,https://links.sgx.com/1.0.0/corporate-announcements/9QA803WQR0Q4A9NY/AP%20Oil%20International%20Limited_Annual%20Report2018.pdf,STOCKS,Yes,Materials
APAC REALTY LIMITED,APAC REALTY LIMITED,CLN,http://apacrealty.listedcompany.com/newsroom/686537_LR_Ebookproof.pdf,STOCKS,Yes,Real Estate
APTT MANAGEMENT PTE. LIMITED,APTT MANAGEMENT PRIVATE LIMITED,S7OU,https://links.sgx.com/1.0.0/corporate-announcements/DK352L6B0USZ8WJA/APTTAnnualReport2018.pdf,BTRUST,Yes,Communication Services
ARA TRUST MANAGEMENT (CACHE) LIMITED,ARA TRUST MANAGEMENT (CACHE) LIMITED,K2LU,https://links.sgx.com/1.0.0/corporate-announcements/VH8OD83ETQ2EEG3U/Cache_Annual%20Report%202018.pdf,REIT,Yes,Real Estate
ARA ASSET MANAGEMENT (FORTUNE) LIMITED,ARA ASSET MANAGEMENT (FORTUNE) LIMITED,F25U,https://links.sgx.com/FileOpen/Annual%20Report%202018.ashx?App=Announcement&FileID=547832,REIT,Yes,Real Estate
ARA TRUST MANAGEMENT (SUNTEC) LIMITED,ARA TRUST MANAGEMENT (SUNTEC) LIMITED,T82U,https://links.sgx.com/1.0.0/corporate-announcements/9FS1OD03SXNIPGMX/Suntec%20REIT%20-%20Annual%20Report%202018.pdf,REIT,Yes,Real Estate
ARION ENTERTAINMENT SINGAPORE LIMITED,ARION ENTERTAINMENT SINGAPORE LIMITED,YYB,https://links.sgx.com/1.0.0/corporate-announcements/AG2GDUUB3LPIH4ZI/AES_Sponsor_Statement.pdf,STOCKS,Yes,Communication Services
ARTIVISION TECHNOLOGIES LTD.,ARTIVISION TECHNOLOGIES LIMITED,5NK,https://links.sgx.com/1.0.0/corporate-announcements/IHCIJH7FISZBUQ8Y/Annual%20Report%202018.e.pdf,STOCKS,Yes,Information Technology
ASCENDAS FUNDS MANAGEMENT (S) LIMITED,ASCENDAS FUNDS MANAGEMENT SINGAPORE LIMITED,A17U,https://links.sgx.com/1.0.0/corporate-announcements/8UC0Q47ADB0ELWWJ/AREIT%20Annual%20Report%20FY17-18.pdf,REIT,Yes,Real Estate
ASCENDAS HOSPITALITY FUND MANAGEMENT PTE. LTD.,ASCENDAS HOSPITALITY FUND MANAGEMENT PRIVATE LIMITED,Q1P,https://links.sgx.com/1.0.0/corporate-announcements/7DP9XC5W3LTCOONU/A-HTRUST_Annual%20Report%20FY1718.pdf,REIT,Yes,Real Estate
ASCENDAS PROPERTY FUND TRUSTEE PTE. LTD.,ASCENDAS PROPERTY FUND TRUSTEE PRIVATE LIMITED,CY6U,https://links.sgx.com/1.0.0/corporate-announcements/EXBXST9J4K36EDBF/a-iTrust%20AR%202017_2018.pdf,REIT,Yes,Real Estate
ASCOTT RESIDENCE TRUST MANAGEMENT LIMITED,ASCOTT RESIDENCE TRUST MANAGEMENT LIMITED,HMN,https://links.sgx.com/1.0.0/corporate-announcements/GIJRYS7JYA1QOJEE/20190313_AR_2018.pdf,REIT,Yes,Real Estate
ASIA ENTERPRISES HOLDING LIMITED,ASIA ENTERPRISES HOLDING LIMITED,A55,https://links.sgx.com/1.0.0/corporate-announcements/FZTSGQ7URKS4EFIT/Asia%20Enterprises%20Holding%20Limited_Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
ASIA FASHION HOLDINGS LIMITED,ASIA FASHION HOLDINGS LIMITED,BQI,,STOCKS,No,Consumer Discretionary
ASIA VETS HOLDINGS LTD.,ASIA VETS HOLDINGS LIMITED,5RE,https://links.sgx.com/1.0.0/corporate-announcements/ERUH8Y3XE7S2ALAO/AVH%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Information Technology
ASIAMEDIC LIMITED,ASIAMEDIC LIMITED,505,https://links.sgx.com/1.0.0/corporate-announcements/O2BLMCXT9BRQEN3M/AML%20Annual%20Report%202018.pdf,STOCKS,Yes,Health Care
ASIAN HEALTHCARE SPECIALISTS LIMITED,ASIAN HEALTHCARE SPECIALISTS LIMITED,1J3,https://links.sgx.com/1.0.0/corporate-announcements/4MMV8URJECRNHN1N/AHS_Annual%20Report%202018.pdf,STOCKS,Yes,Health Care
ASIAN MICRO HOLDINGS LIMITED,ASIAN MICRO HOLDINGS LIMITED,585,https://links.sgx.com/1.0.0/corporate-announcements/IUK13ZOBFFM7FQOJ/Asian%20Micro-AR2018.pdf,STOCKS,Yes,Industrials
ASIAPHOS LIMITED,ASIAPHOS LIMITED,5WV,https://links.sgx.com/1.0.0/corporate-announcements/GY65DM0KC4X5GWVG/Annual%20Report%202018.pdf,STOCKS,Yes,Materials
ASIATIC GROUP (HOLDINGS) LIMITED,ASIATIC GROUP HOLDINGS LIMITED,5CR,https://links.sgx.com/1.0.0/corporate-announcements/G4AF18P31O43E01F/Asiatic%20AR2018_lowres%20for%20SGX.pdf,STOCKS,Yes,Industrials
ASIATRAVEL.COM HOLDINGS LTD,ASIATRAVELCOM HOLDINGS LIMITED,5AM,,STOCKS,No,Consumer Discretionary
ASL MARINE HOLDINGS LTD.,ASL MARINE HOLDINGS LIMITED,A04,https://links.sgx.com/1.0.0/corporate-announcements/IJX1Q906PQ5OR95C/Oct_8_2018_Annual%20Report_2018.pdf,STOCKS,Yes,Industrials
ASPEN (GROUP) HOLDINGS LIMITED,ASPEN (GROUP) HOLDINGS LIMITED,1F3,https://links.sgx.com/1.0.0/corporate-announcements/R0NJ7YF7D8A706TZ/AGH_Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
ASPIAL CORPORATION LIMITED,ASPIAL CORPORATION LIMITED,A30,https://links.sgx.com/1.0.0/corporate-announcements/91JMYBRNREPNUBZB/Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
ASTAKA HOLDINGS LIMITED,ASTAKA HOLDINGS LIMITED,42S,https://links.sgx.com/1.0.0/corporate-announcements/AOLN4822U63KCHS8/Astaka%20AR18.pdf,STOCKS,Yes,Real Estate
ASTI HOLDINGS LIMITED,ASTI HOLDINGS LIMITED,575,https://links.sgx.com/1.0.0/corporate-announcements/N2LOOOU35AHKA6W5/ASTI%20AR2018.pdf,STOCKS,Yes,Information Technology
ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,ATLANTIC NAVIGATION HOLDINGS SINGAPORE LIMITED,5UL,https://links.sgx.com/1.0.0/corporate-announcements/QJQGP701E55MNMH3/Atlantic-AR2018.pdf,STOCKS,Yes,Energy
AUSGROUP LIMITED,AUSGROUP LIMITED,5GJ,https://links.sgx.com/1.0.0/corporate-announcements/NRP88550L4U4HXJK/AusGroupAnnualReport2018.pdf,STOCKS,Yes,Industrials
AVARGA LIMITED,AVARGA LIMITED,U09,https://links.sgx.com/1.0.0/corporate-announcements/V6TLQEG1FKYJWIBM/Avarga%20Limited_Annual%20Report%202018.pdf,STOCKS,Yes,Materials
AVI-TECH ELECTRONICS LIMITED,AVI-TECH ELECTRONICS LIMITED,BKY,https://links.sgx.com/1.0.0/corporate-announcements/JNFFOC7LPNERJ35T/Avi-Tech%20Electronics%20Limited%20AR%202018.pdf,STOCKS,Yes,Information Technology
AVIC INTERNATIONAL MARITIME HOLDINGS LIMITED,AVIC INTERNATIONAL MARITIME HOLDINGS LIMITED,O2I,https://links.sgx.com/1.0.0/corporate-announcements/MU2N32QNIU9BQEBB/AIMHL%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
AVJENNINGS LIMITED,AVJENNINGS LIMITED,A05,http://investors.avjennings.com.au/FormBuilder/_Resource/_module/vU4dnS_HPU6N9vodb8flvg/file/AVJAnnualReport2018.pdf,STOCKS,Yes,Financials
AXCELASIA INC.,AXCELASIA INC,42U,https://links.sgx.com/1.0.0/corporate-announcements/8E35OG5VVWJNBXTM/Axcelasia%20Inc_Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
AYONDO LTD.,AYONDO LIMITED,1I5,https://links.sgx.com/1.0.0/corporate-announcements/KXVC7BY9Y1HYFKS2/ayondo_Annual%20Report%20FY2018.pdf,STOCKS,Yes,Financials
AZEUS SYSTEMS HOLDINGS LTD.,AZEUS SYSTEMS HOLDINGS LIMITED,BBW,https://links.sgx.com/1.0.0/corporate-announcements/FSJXMUIEWY8UAWUB/Azeus%20AR%202018.pdf,STOCKS,Yes,Information Technology
BAIDU INC.,BAIDU INC,,,ADR,No,
BAKER TECHNOLOGY LIMITED,BAKER TECHNOLOGY LIMITED,BTP,https://links.sgx.com/1.0.0/corporate-announcements/DYKA2IB6HPII7S7O/BTL_Annual_Report_2018.pdf,STOCKS,Yes,Energy
BAN LEONG TECHNOLOGIES LIMITED,BAN LEONG TECHNOLOGIES LIMITED,B26,https://links.sgx.com/1.0.0/corporate-announcements/2TK6R1VNXENZ4GI9/BLTL_Annual%20Report%202018.pdf,STOCKS,Yes,Information Technology
BANYAN TREE HOLDINGS LIMITED,BANYAN TREE HOLDINGS LIMITED,B58,https://links.sgx.com/1.0.0/corporate-announcements/E5J42KIHAHTGPYOV/1-BTH_AR2018.pdf,STOCKS,Yes,Consumer Discretionary
BBR HOLDINGS (S) LTD,BBR HOLDINGS SINGAPORE LIMITED,KJ5,https://links.sgx.com/1.0.0/corporate-announcements/6L2RULDXTW849V0E/BBR_Annual_Report_2018.pdf,STOCKS,Yes,Industrials
BENG KUANG MARINE LIMITED,BENG KUANG MARINE LIMITED,BEZ,https://links.sgx.com/1.0.0/corporate-announcements/RZMXTTO9W71359TT/Annual%20Report.pdf,STOCKS,Yes,Industrials
BEST WORLD INTERNATIONAL LIMITED,BEST WORLD INTERNATIONAL LIMITED,CGN,,STOCKS,No,Consumer Staples
BH GLOBAL CORPORATION LIMITED,BH GLOBAL CORPORATION LIMITED,BQN,https://links.sgx.com/1.0.0/corporate-announcements/UCB8K457SRLX1B3N/BHG_AnnualReport.pdf,STOCKS,Yes,Industrials
BHG RETAIL TRUST MANAGEMENT PTE. LTD.,BHG RETAIL TRUST MANAGEMENT PRIVATE LIMITED,BMGU,https://links.sgx.com/1.0.0/corporate-announcements/AOMLGEOZXTGKFKVP/BHG%20Retail%20REIT%20-%20Final%20AR2018.pdf,REIT,Yes,Real Estate
BIOLIDICS LIMITED,BIOLIDICS LIMITED,8YY,https://links.sgx.com/1.0.0/corporate-announcements/2S1JOT19VUD63E2D/Biolidics%20Limited-2018%20Annual%20Report.pdf,STOCKS,Yes,Health Care
BLACKGOLD NATURAL RESOURCES LIMITED,BLACKGOLD NATURAL RESOURCES LIMITED,41H,https://links.sgx.com/1.0.0/corporate-announcements/U33DOVPQCMM2V6T4/BlackGold%20Natural%20Resources%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Energy
BLUMONT GROUP LTD.,BLUMONT GROUP LIMITED,A33,https://links.sgx.com/1.0.0/corporate-announcements/E5APGHO0NB3IKBR7/Blumont%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
BM MOBILITY LTD.,BM MOBILITY LIMITED,I9T,https://links.sgx.com/FileOpen/BMM-AR2018-19.ashx?App=Announcement&FileID=572643,STOCKS,Yes,Materials
BOLDTEK HOLDINGS LIMITED,BOLDTEK HOLDINGS LIMITED,5VI,https://links.sgx.com/1.0.0/corporate-announcements/4IY9L8C5KC2FLGJZ/Boldtek%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
BONVESTS HOLDINGS LIMITED,BONVESTS HOLDINGS LIMITED,B28,https://links.sgx.com/1.0.0/corporate-announcements/IRSLM95OY30FZCFV/BV%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
BOUSTEAD PROJECTS LIMITED,BOUSTEAD PROJECTS LIMITED,AVM,https://links.sgx.com/1.0.0/corporate-announcements/L0138YJ8NV0OVBGJ/BP%20FY2018%20AR.pdf,STOCKS,Yes,Industrials
BOUSTEAD SINGAPORE LIMITED,BOUSTEAD SINGAPORE LIMITED,F9D,https://links.sgx.com/1.0.0/corporate-announcements/T738GGM9LEADSBRU/Boustead%20FY2018%20AR.pdf,STOCKS,Yes,Industrials
BOWSPRIT CAPITAL CORPORATION LIMITED,BOWSPRIT CAPITAL CORPORATION LIMITED,AW9U,https://links.sgx.com/1.0.0/corporate-announcements/SDFE5XLGYSCMNYKH/AR%202018.pdf,REIT,Yes,Real Estate
BRC ASIA LIMITED,BRC ASIA LIMITED,BEC,https://links.sgx.com/1.0.0/corporate-announcements/G5BDKK15OFFO3GX6/BRC%20AR2018.pdf,STOCKS,Yes,Industrials
BREADTALK GROUP LIMITED,BREADTALK GROUP LIMITED,CTN,https://links.sgx.com/1.0.0/corporate-announcements/TN8V4TWGJ8IPV0QK/BTG%20-%20Annual%20Report%20-%20FY%202018.pdf,STOCKS,Yes,Consumer Discretionary
BRITISH AND MALAYAN HOLDINGS LIMITED,BRITISH AND MALAYAN HOLDINGS LIMITED,CJN,https://links.sgx.com/1.0.0/corporate-announcements/864B3Q8IZJILKPYZ/BMH%20-%20181004_Annual%20Report%20FY2018_Final.pdf,STOCKS,Yes,Financials
BROADWAY INDUSTRIAL GROUP LIMITED,BROADWAY INDUSTRIAL GROUP LIMITED,B69,https://links.sgx.com/1.0.0/corporate-announcements/BB91VT0H9Y950WZU/BIGL%20-%20Annual%20Report%20FY2018.pdf,STOCKS,Yes,Information Technology
BROOK CROMPTON HOLDINGS LTD.,BROOK CROMPTON HOLDINGS LIMITED,AWC,https://links.sgx.com/1.0.0/corporate-announcements/TGE95OXZQB19UUH8/Brook%20Crompton%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
BUKIT SEMBAWANG ESTATES LIMITED,BUKIT SEMBAWANG ESTATES LIMITED,B61,https://links.sgx.com/1.0.0/corporate-announcements/YT3SJGS5UYUK8PW1/Annual_Report2018.pdf,STOCKS,Yes,Real Estate
BUMITAMA AGRI LTD.,BUMITAMA AGRI LIMITED,P8Z,https://links.sgx.com/1.0.0/corporate-announcements/1V82Q5YO1K1QHKXD/BAL-Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Staples
BUND CENTER INVESTMENT LTD,BUND CENTER INVESTMENT LIMITED,BTE,https://links.sgx.com/1.0.0/corporate-announcements/0HWU4LMIAZJTAG6A/BCI-Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
C&G ENV PROTECT HLDGS LTD,C&G ENV PROTECT HOLDINGS LIMITED,D79,https://links.sgx.com/1.0.0/corporate-announcements/UZFL97LI4XVDR2LD/CG_Annual%20Report%20FY2018.pdf,STOCKS,Yes,Utilities
CACOLA FURNITURE INTL LIMITED,CACOLA FURNITURE INTL LIMITED,D2U,,STOCKS,No,Consumer Discretionary
CAMSING HEALTHCARE LIMITED,CAMSING HEALTHCARE LIMITED,BAC,https://links.sgx.com/1.0.0/corporate-announcements/R0YG20T566AUKZK5/Camsing%20-%20AR%202018.pdf,STOCKS,Yes,Consumer Discretionary
CAPITAL WORLD LIMITED.,CAPITAL WORLD LIMITED,1D5,https://links.sgx.com/1.0.0/corporate-announcements/63KOW76093UO3O1O/Capital%20World%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
CAPITALAND COMMERCIAL TRUST MANAGEMENT LIMITED,CAPITALAND COMMERCIAL TRUST MANAGEMENT LIMITED,C61U,https://links.sgx.com/1.0.0/corporate-announcements/SIIDRE5RS3AOQYAZ/CCT%20AR%202018.pdf,REIT,Yes,Real Estate
CAPITALAND LIMITED,CAPITALAND LIMITED,C31,https://links.sgx.com/1.0.0/corporate-announcements/LPFKOAJGYAKTBWOY/CLAnnualReport2018v3.pdf,STOCKS,Yes,Real Estate
CAPITALAND MALL TRUST MANAGEMENT LIMITED,CAPITALAND MALL TRUST MANAGEMENT LIMITED,C38U,https://links.sgx.com/1.0.0/corporate-announcements/MT6AK2P2FNNMCFFR/CMT_Annual_Report_2018_20190313.pdf,REIT,Yes,Real Estate
CAPITALAND RETAIL CHINA TRUST MANAGEMENT LIMITED,CAPITALAND RETAIL CHINA TRUST MANAGEMENT LIMITED,AU8U,https://links.sgx.com/1.0.0/corporate-announcements/19YVVJL4R6B9PTRX/CRCT%20Annual%20Report%202018.pdf,REIT,Yes,Real Estate
CAPTII LIMITED,CAPTII LIMITED,AWV,https://links.sgx.com/1.0.0/corporate-announcements/5Q7MFZWZQW3MQ202/Captii_ARFY18.pdf,STOCKS,Yes,Information Technology
CASA HOLDINGS LIMITED,CASA HOLDINGS LIMITED,C04,https://links.sgx.com/1.0.0/corporate-announcements/NYHGMNFEDE8OV5LX/Casa_Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Discretionary
CDW HOLDING LIMITED,CDW HOLDING LIMITED,BXE,https://links.sgx.com/1.0.0/corporate-announcements/V95409EHHYKCEEMY/CDW%20Holding%20Limited%20-%20Annual%20Report%20FY2018.pdf,STOCKS,Yes,Information Technology
CEI LIMITED,CEI LIMITED,AVV,https://links.sgx.com/1.0.0/corporate-announcements/IQKA8G9XKD1X44DW/1be45c1f50e63365632ed165980b6d208b34796045d5ec6a8f929723fdbcc331,STOCKS,Yes,Information Technology
CENTURION CORPORATION LIMITED,CENTURION CORPORATION LIMITED,OU8,https://links.sgx.com/1.0.0/corporate-announcements/DVJBT0C7UP06UUBO/CCL%20-%20Annual%20Report%202018_English.pdf,STOCKS,Yes,Real Estate
CFM HOLDINGS LIMITED,CFM HOLDINGS LIMITED,5EB,https://links.sgx.com/1.0.0/corporate-announcements/5H8CQCA1TFCA59PG/CFM_AR2018_SGX.pdf,STOCKS,Yes,Industrials
CH OFFSHORE LTD.,CH OFFSHORE LIMITED,C13,https://links.sgx.com/1.0.0/corporate-announcements/O3MR6D0UPNZUL5RW/CHO_AR_FY31Dec18.pdf,STOCKS,Yes,Energy
CHALLENGER TECHNOLOGIES LIMITED,CHALLENGER TECHNOLOGIES LIMITED,573,https://links.sgx.com/1.0.0/corporate-announcements/G80BDVZM7GHEX732/Challenger%20-%20Annual%20Report%20FY%202018.pdf,STOCKS,Yes,Consumer Discretionary
CHARISMA ENERGY SERVICES LIMITED,CHARISMA ENERGY SERVICES LIMITED,5QT,https://links.sgx.com/1.0.0/corporate-announcements/3NAKO8V7J6J111NC/CES_Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
CHASEN HOLDINGS LIMITED,CHASEN HOLDINGS LIMITED,5NV,https://links.sgx.com/1.0.0/corporate-announcements/7DB7IH2WTYXRHZ2V/Chasen%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
CHASWOOD RESOURCES HOLDINGS LTD.,CHASWOOD RESOURCES HOLDINGS LIMITED,5TW,https://links.sgx.com/1.0.0/corporate-announcements/YPZB6A4QZUJQD37Z/Chaswood%20-%20AR2018.pdf,STOCKS,Yes,Consumer Discretionary
